Precision,Recall,F1
0.13478260869535919,0.07888040712458158,0.09951845860308815
0.08637873754124127,0.05652173913031191,0.06833114275423617
0.13475177304916755,0.07739307535625786,0.0983182401572543
0.04999999999986842,0.03950103950095738,0.0441347265683341
0.048717948717823804,0.03838383838376084,0.042937852614285815
0.09024390243880429,0.06776556776544365,0.0774058572505427
0.17857142857015307,0.10822510822463972,0.13477088901722598
0.2530120481897227,0.14189189189093318,0.18181818135619648
0.21621621621426831,0.10762331838516762,0.1437125744056617
0.2169811320734247,0.10798122065677004,0.14420062651459792
