Precision,Recall,F1
0.13606911447054845,0.08015267175562321,0.10088070409692813
0.09150326797355718,0.06086956521725898,0.07310704912837364
0.13636363636315957,0.07942973523405411,0.10038609992064652
0.05454545454531287,0.043659043658952894,0.04849884477162127
0.053435114503680825,0.04242424242415672,0.047297296803787754
0.09466019417452752,0.07142857142844061,0.08141962372673149
0.17985611510661975,0.10822510822463972,0.13513513466531776
0.2499999999970238,0.14189189189093318,0.18103448229511
0.21428571428380103,0.10762331838516762,0.143283581643591
0.21495327102602846,0.10798122065677004,0.14374999955396484
