strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.03444462397675288,0.039604406794503,0.03143283124755455,0.03443126518193966
MOD,0.06163436109931628,0.06864325165144318,0.05680708378922694,0.06142516539383858
LOO,0.08436853688759967,0.09064832118574336,0.08171490643308946,0.09388345487927734
