Precision,Recall,F1
0.14350797266482118,0.08015267175562321,0.10285714239709455
0.08823529411735871,0.058695652173785445,0.07049608307093919
0.16197183098534518,0.09368635437862793,0.11870967695471883
0.06282722513072558,0.04989604989594616,0.055619929981537905
0.04534005037771955,0.0363636363635629,0.04035874390056356
0.09313725490173251,0.06959706959694213,0.07966456974090337
0.15602836879321966,0.09523809523768295,0.1182795694211036
0.2439024390214158,0.13513513513422207,0.1739130430179206
0.2222222222201646,0.10762331838516762,0.14501510529965955
0.21100917430999072,0.10798122065677004,0.14285714240841402
