strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.03153057129358976,0.034605699562965025,0.048570858559777254,0.04792876785283576
MOD,0.09318330135465949,0.08922472517643061,0.12365599035919113,0.11384688923483155
LOO,0.14478371941505053,0.1399166673607767,0.18005998030184805,0.1763383731526421
