st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.006,0.609,21.687,0.065,5.751,70.752,14.263,11.306,20.139,13.823,0,0,1.219,0.011,0,0,0.994,0.008,0,0,1.554,0.01,0,0,1.112,0.013,0,0,0,0,0,0
0.006,0.495,3.611,0.066,4.457,30.33,1.502,1.177,6.798,4.315,0,0,0.238,0.006,0,0,0.238,0.006,0,0,0.767,0.007,0,0,0.502,0.006,0,0,0,0,0,0
0.006,0.464,10.214,0.068,4.027,43.019,4.741,3.15,7.458,4.953,0,0,0.346,0.007,0,0,0.257,0.004,0,0,0.614,0.006,0,0,0.455,0.007,0,0,0,0,0,0
0.006,0.503,18.413,0.068,4.475,87.9,18.536,13.626,23.57,17.683,0,0,1.322,0.009,0,0,1.184,0.007,0,0,1.794,0.012,0,0,1.181,0.013,0,0,0,0,0,0
0.006,0.469,11.875,0.066,4.008,35.589,16.84,13.026,10.661,6.392,0,0,1.854,0.01,0,0,1.209,0.007,0,0,1.124,0.008,0,0,0.654,0.007,0,0,0,0,0,0
0.003,0.517,26.723,0.067,4.462,42.593,37.217,28.465,10.647,7.216,0,0,3.005,0.01,0,0,2.485,0.011,0,0,1.007,0.007,0,0,0.747,0.007,0,0,0,0,0,0
0.007,0.517,6.682,0.076,4.412,31.564,2.967,2.357,7.658,4.744,0,0,0.473,0.008,0,0,0.483,0.005,0,0,1.184,0.007,0,0,0.75,0.007,0,0,0,0,0,0
0.006,0.459,9.838,0.065,3.942,45.105,4.891,4.082,16.315,10.238,0,0,0.592,0.007,0,0,0.519,0.004,0,0,1.465,0.008,0,0,0.997,0.008,0,0,0,0,0,0
0.002,0.472,15.779,0.064,3.999,46.783,18.43,14.085,21.723,15.174,0,0,2.083,0.012,0,0,1.571,0.008,0,0,2.064,0.011,0,0,1.566,0.011,0,0,0,0,0,0
0.006,0.472,12.738,0.065,3.997,58.214,10.609,8.244,13.846,8.546,0,0,0.978,0.01,0,0,0.953,0.006,0,0,1.49,0.008,0,0,0.877,0.008,0,0,0,0,0,0
