strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.05584099552769671,0.06872157816000385,0.06068838962315419,0.06422400068530223
MOD,0.17177176158256402,0.1781508485067587,0.15899052567273744,0.15732416525814927
LOO,0.25853408135988387,0.274249712367487,0.2264201041159808,0.2394915146371818
