strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.0167014613778356,0.0194931773878762,0.0316301703162247,0.0410628019322679
MOD,0.1446540880500112,0.1406249999997253,0.1593137254898056,0.1553398058248656
LOO,0.2857142857136673,0.253999999999492,0.3053435114496047,0.3069053708432048
