strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.0101781170483331,0.0127226463104163,0.0165394402035412,0.0216284987277078
MOD,0.087786259541873,0.0916030534349979,0.0826972010177064,0.0814249363866648
LOO,0.1679389312974962,0.161577608142288,0.1526717557249966,0.1526717557249966
