Precision,Recall,F1
0.15578947368388255,0.09414758269708123,0.11736716844378761
0.12547528517062556,0.07173913043462665,0.09128630659081091
0.17993079584712826,0.1059063136454055,0.1333333328665253
0.062146892655191674,0.04573804573795065,0.052694610289883474
0.0883190883188367,0.0626262626261361,0.0732860515237692
0.11940298507427044,0.07326007325993908,0.09080590191212906
0.1532258064503772,0.08225108225072619,0.10704225306594724
0.23437499999633787,0.10135135135066656,0.14150943353942683
0.1799999999982,0.0807174887888757,0.1114551079309492
0.282828282825426,0.1314553990604157,0.17948717905278186
0.1063829787230809,0.05756578947358953,0.07470650968291137
0.15637860082240174,0.08636363636344009,0.11127379163497533
0.11838006230492717,0.05046480743685197,0.07076350051186328
0.2169811320734247,0.10900473933597629,0.14511040964857844
0.21527777777628282,0.09904153354600946,0.13566739562905256
0.1846153846139645,0.09374999999963379,0.12435233115884992
0.21612903225736732,0.11394557823109873,0.14922048952531483
0.08921933085468692,0.05172413793092301,0.0654843105856848
0.147999999999408,0.07198443579752532,0.09685863830290425
0.13127413127362442,0.041923551171341646,0.06355140150211024
0.04347826086943019,0.039772727272614286,0.04154302620709877
0.06646525679738229,0.04651162790687841,0.05472636767466462
0.3037974683531485,0.15517241379276903,0.20542082694128827
0.1021671826622224,0.07366071428554986,0.08560311235338747
0.07368421052592798,0.03713527851449036,0.04938271560359453
0.08868501529024868,0.060669456066818686,0.07204968895840748
0.05434782608675961,0.047619047618896446,0.05076142082180251
0.15789473684127425,0.06521739130420605,0.09230769189368046
0.23170731707222883,0.10674157303350798,0.14615384572163706
0.14606741572951648,0.06018518518504587,0.08524590122575652
0.21138211382056538,0.0953545232272673,0.13142375694284544
0.17252396166079068,0.09608540925249807,0.12342857096877975
0.03296703296698121,0.03471074380159552,0.03381642462105042
0.12543554006924937,0.06949806949793533,0.08944099332976968
0.11999999999952,0.06535947712404061,0.08462623367579042
0.10497237569031775,0.05801526717548395,0.07472959639484517
0.10426540284310776,0.05176470588223114,0.06918238949349809
0.15903614457793003,0.08859060402672672,0.11379310298854489
0.1283422459886185,0.1199999999994,0.1240310072518612
0.13537117903900575,0.09212481426435049,0.1096374884657084
0.07317073170713861,0.048387096774115505,0.058252426705137146
0.11447811447772903,0.08542713567817732,0.09784172612898298
0.1046511627904543,0.07154213036554603,0.08498583521154615
0.06504065040623967,0.03368421052624487,0.04438280121467141
0.0712788259956577,0.0664062499998703,0.06875631901514845
0.08333333333306624,0.051999999999896004,0.06403940839363975
0.14598540145878844,0.08333333333298612,0.10610079529272703
0.12987012986928656,0.04866180048649961,0.07079645978019267
0.17218543046243587,0.0812499999997461,0.11040339659150471
0.16447368420944428,0.10460251045981338,0.12787723737576284
0.18145161290249415,0.08538899430723836,0.11612903182256482
0.16176470588175823,0.05425400739820684,0.08125577063016194
0.2478386167139832,0.12932330827048222,0.16996047385733448
0.1212121212117131,0.06691449814113956,0.08622754445162467
0.23954372623483064,0.1151736745884549,0.1555555551166377
0.16956521739056712,0.07617187499985123,0.10512129337247623
0.17919075144405094,0.08244680851041902,0.11293260430383442
0.12443778110925871,0.08129285014683517,0.09834123174936198
0.10526315789445984,0.06568144499168196,0.08088978719095082
0.16190476190424793,0.07931570762040542,0.10647181584231459
0.15258855585789485,0.08749999999986328,0.11122144938757005
0.10638297872302702,0.08108108108086194,0.09202453938612669
0.09268292682904224,0.06518010291584017,0.0765357497667844
0.07291666666651477,0.0669216061184189,0.06979062761643286
0.10638297872315276,0.052754982414944016,0.07053291491717235
0.19847328244244508,0.10647010647001927,0.13859275007841446
0.1845730027543125,0.10771704180046991,0.13604060867134943
0.1876675603212127,0.08782936010026621,0.11965811922357952
0.24099722991622993,0.11012658227834161,0.1511728927056003
0.15347721822505161,0.07814407814398273,0.10355987010288567
0.16363636363561984,0.07468879668034296,0.10256410213345671
0.08142493638656126,0.029906542056046818,0.043745727563262234
0.1578947368410665,0.06936416184951051,0.09638554174416541
0.20256410256358318,0.11221590909074969,0.1444241311679829
0.118644067796208,0.10057471264338916,0.10886469623711753
0.07255520504708973,0.05424528301873999,0.062078272114846456
0.06950672645724326,0.051155115511466745,0.05893536072818387
0.11830357142830736,0.10794297352320174,0.1128860484890935
0.07216494845323626,0.035353535353446076,0.0474576266770928
0.14119922630533618,0.08183856502232978,0.1036195878958092
0.10621761658003571,0.0752293577980271,0.08807733571203136
0.11146496815251127,0.060449050086251385,0.0783874575505744
0.1473214285707709,0.06521739130421894,0.09041095847847627
0.110429447852422,0.05911330049251377,0.0770053471392239
0.16149068322931215,0.09629629629611797,0.12064965150385709
0.10539215686248679,0.062228654124367254,0.07825295676686143
0.08793969849224136,0.06481481481469478,0.07462686518294152
0.06926406926391934,0.06177606177594252,0.06530612195047897
0.14174757281525874,0.08304891922629914,0.1047345762914736
0.25103734439781944,0.13152173913029183,0.1726105558966282
0.1886120996434569,0.09249563699809338,0.12412177941764885
0.09917355371859846,0.03174603174598976,0.04809619201730114
0.09919028340060893,0.06980056980047038,0.08193979884608954
0.09177215189844376,0.038208168642900914,0.053953487956902975
0.1782945736427198,0.09445585215586354,0.12348993243281654
0.08383233532883934,0.027131782945683854,0.04099560724390072
0.14196242171160342,0.08173076923067099,0.10373760441786188
0.05474452554724546,0.03205128205121357,0.04043126638043171
0.12715517241351906,0.08321579689692071,0.10059675996494878
0.10647181628370257,0.05641592920347742,0.07375271104385711
0.10311750599495656,0.07775768535248145,0.08865979332407908
0.12419700214106168,0.05817452357065379,0.0792349722430173
