st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.007,0.732,16.753,0.067,7.52,94.718,13.21,9.641,53.589,36.539,0,0,1.366,0.011,0,0,1.065,0.014,0,0,3.234,0.022,0,0,2.405,0.024,0,0,0,0,0,0
0.007,0.747,18.725,0.066,7.441,85.242,18.413,14.081,54.006,32.303,0,0,1.811,0.015,0,0,1.185,0.015,0,0,3.303,0.023,0,0,2.218,0.023,0,0,0,0,0,0
0.007,0.736,27.455,0.067,7.074,135.292,23.627,16.33,58.756,39.652,0,0,1.635,0.016,0,0,1.142,0.016,0,0,2.747,0.023,0,0,1.944,0.024,0,0,0,0,0,0
0.008,0.723,13.657,0.065,7.036,131.657,6.668,4.716,48.527,31.082,0,0,0.878,0.011,0,0,0.565,0.011,0,0,2.717,0.022,0,0,1.548,0.022,0,0,0,0,0,0
0.008,0.75,65.589,0.067,7.11,258.898,99.705,82.076,173.948,110.074,0,0,6.304,0.028,0,0,5.434,0.029,0,0,6.75,0.036,0,0,4.577,0.037,0,0,0,0,0,0
0.008,0.74,39.354,0.068,7.053,146.138,30.07,21.743,66.685,41.721,0,0,1.996,0.018,0,0,1.542,0.018,0,0,3.223,0.025,0,0,2.162,0.026,0,0,0,0,0,0
0.008,0.738,16.305,0.068,7.023,113.588,17.243,12.676,55.599,35.123,0,0,1.041,0.013,0,0,1.04,0.013,0,0,3.164,0.019,0,0,1.902,0.022,0,0,0,0,0,0
0.008,0.723,16.233,0.067,7.042,151.834,9.242,7.023,85.382,56.606,0,0,0.901,0.013,0,0,0.706,0.013,0,0,3.788,0.026,0,0,3.169,0.029,0,0,0,0,0,0
0.008,0.719,12.84,0.067,7.007,88.96,10.204,7.312,41.857,27.882,0,0,0.901,0.011,0,0,0.85,0.009,0,0,3.295,0.018,0,0,2.767,0.019,0,0,0,0,0,0
0.008,0.742,33.831,0.067,7.088,161.51,84.435,62.499,236.778,147.334,0,0,5.097,0.024,0,0,3.914,0.025,0,0,10.662,0.042,0,0,7.497,0.04,0,0,0,0,0,0
0.008,0.723,2.971,0.066,6.981,58.802,0.556,0.441,15.643,9.836,0,0,0.171,0.005,0,0,0.108,0.005,0,0,1.529,0.013,0,0,1.051,0.013,0,0,0,0,0,0
0.008,0.744,34.396,0.066,7.052,165.825,72.708,60.213,195.037,114.752,0,0,4.399,0.023,0,0,4.631,0.023,0,0,8.613,0.037,0,0,6.711,0.037,0,0,0,0,0,0
0.008,0.73,33.513,0.067,7.032,156.909,54.377,43.019,131.552,81.357,0,0,2.953,0.017,0,0,2.534,0.017,0,0,6.149,0.03,0,0,3.476,0.03,0,0,0,0,0,0
0.008,0.731,21.953,0.066,7.025,125.892,18.986,14.523,86.024,51.537,0,0,1.665,0.016,0,0,1.364,0.015,0,0,4.447,0.025,0,0,2.821,0.025,0,0,0,0,0,0
0.007,0.776,69.976,0.067,7.096,155.863,103.363,80.403,48.74,35.737,0,0,5.351,0.026,0,0,5.111,0.024,0,0,2.784,0.023,0,0,1.639,0.023,0,0,0,0,0,0
0.008,0.755,25.011,0.068,7.118,179.305,11.388,7.964,38.427,29.6,0,0,0.948,0.013,0,0,0.588,0.012,0,0,1.747,0.02,0,0,1.112,0.022,0,0,0,0,0,0
