strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.015439458541592394,0.020109439382619887,0.028670410912849238,0.025411761843391667
MOD,0.16964108285648333,0.1611276626626538,0.17075291703616235,0.15499347610550818
LOO,0.24865770053958938,0.22250976706232956,0.2299132692227367,0.2135359212112871
