Precision,Recall,F1
0.19444444444354425,0.32812499999743655,0.24418604604292865
0.1160220994468728,0.2727272727237308,0.16279069725440176
0.0478260869563138,0.2115384615343935,0.07801418409582013
0.01775147928983579,0.19999999998666668,0.03260869550206758
0.1937984496109008,0.2083333333315972,0.20080321235044593
0.11052631578889198,0.22826086956273628,0.14893616977209395
0.12149532710223601,0.2653061224462724,0.16666666623471402
0.09459459459331629,0.19444444443904324,0.12727272683008264
0.15422885572062572,0.25409836065365493,0.19195046392500648
0.11538461538313609,0.16363636363338843,0.13533834537757927
0.0961538461529216,0.2173913043431002,0.1333333329063111
0.16959064327386206,0.26126126125890753,0.20567375838642424
0.14024390243816925,0.25555555555271603,0.1811023617457375
0.07920792079168709,0.23880597014568944,0.11895910743173807
0.12666666666582224,0.30645161289828304,0.1792452826033286
