Precision,Recall,F1
0.18721461187129126,0.3203124999974976,0.23631123872610857
0.10989010988950611,0.25974025973688647,0.15444015402113861
0.054545454545206616,0.23076923076479292,0.08823529380774221
0.018292682926717728,0.19999999998666668,0.03351955291869792
0.20454545454390496,0.224999999998125,0.21428571378514738
0.11827956989183722,0.23913043478000945,0.15827338085099113
0.1004566210041075,0.22448979591607662,0.13880126140162605
0.09210526315668283,0.19444444443904324,0.12499999956154335
0.15763546797951905,0.2622950819650631,0.19692307645292306
0.11111111110973937,0.16363636363338843,0.13235294069279843
0.0934579439243602,0.2173913043431002,0.13071895382613521
0.15999999999908573,0.2522522522499797,0.19580419532786444
0.12345679012269471,0.22222222221975307,0.15873015826971526
0.0799999999996,0.23880597014568944,0.11985018688908528
0.12903225806368368,0.3225806451560874,0.18433179682516088
