strictness,BM-IT,BM-TH,ST-IT,ST-TH
STR,0.009397979331071765,0.004978897238943144,0.019362288212622807,0.011886489913775795
MOD,0.07149010591900684,0.05376219983999765,0.10350092832762052,0.07702525164124249
LOO,0.11623245586898787,0.08769338172632801,0.13841147436596618,0.1199464223310783
