Precision,Recall,F1
0.1915887850458337,0.3203124999974976,0.2397660814015595
0.09836065573716743,0.23376623376319783,0.13846153804357986
0.05069124423939774,0.2115384615343935,0.0817843863046116
0.01840490797534721,0.19999999998666668,0.033707865013824015
0.20769230769071007,0.224999999998125,0.215999999499072
0.11290322580584461,0.22826086956273628,0.15107913624672636
0.10798122065677004,0.23469387754862556,0.14790996741307472
0.09210526315668283,0.19444444443904324,0.12499999956154335
0.1683673469379165,0.2704918032764714,0.20754716933709108
0.07894736842001385,0.10909090908892563,0.09160305294656489
0.09523809523718821,0.2173913043431002,0.13245033070040788
0.16091954022896024,0.2522522522499797,0.19649122759322865
0.1329113924042221,0.23333333333074074,0.16935483824590272
0.07425742574220665,0.22388059701158386,0.11152416319387512
0.1315789473675554,0.3225806451560874,0.1869158874371561
