Precision,Recall,F1
0.19523809523716554,0.3203124999974976,0.2426035498238507
0.12087912087845672,0.2857142857105751,0.1698841694650348
0.05309734513250842,0.23076923076479292,0.08633093494705242
0.01818181818170799,0.19999999998666668,0.03333333318018519
0.2137404580136356,0.2333333333313889,0.2231075692202981
0.12041884816690882,0.2499999999972826,0.16254416917134687
0.12093023255757708,0.2653061224462724,0.16613418487231674
0.09333333333208889,0.19444444443904324,0.12612612568557746
0.1560975609748483,0.2622950819650631,0.1957186539652667
0.1139240506314693,0.16363636363338843,0.1343283577229895
0.09433962264061943,0.2173913043431002,0.13157894694459832
0.16091954022896024,0.2522522522499797,0.19649122759322865
0.14197530864109892,0.25555555555271603,0.1825396820790501
0.08415841584116754,0.253731343279795,0.12639405166960102
0.13333333333244446,0.3225806451560874,0.18867924486739054
