Precision,Recall,F1
0.20192307692210615,0.32812499999743655,0.2499999995268566
0.11351351351289993,0.2727272727237308,0.16030534309518676
0.04888888888867161,0.2115384615343935,0.07942238236593725
0.018633540372555074,0.19999999998666668,0.03409090893459453
0.2105263157878908,0.2333333333313889,0.22134387301735695
0.11340206185508556,0.23913043478000945,0.15384615340867522
0.1339712918653877,0.28571428571137025,0.18241042301694446
0.10666666666524444,0.2222222222160494,0.1441441437032708
0.16417910447679515,0.2704918032764714,0.20433436485372233
0.11111111110973937,0.16363636363338843,0.13235294069279843
0.09523809523718821,0.2173913043431002,0.13245033070040788
0.1578947368411819,0.24324324324105184,0.1914893612234042
0.14285714285621523,0.2444444444417284,0.18032786838538026
0.10204081632601,0.2985074626821118,0.15209125437198742
0.12925170067939284,0.30645161289828304,0.18181818139914377
